packageName,device,shopGroup,status
String,String,String,Boolean
com.cardgame.classic.solitaire,android,S1,TRUE
com.solitaire.game.classic,ios,S2,TRUE
com.cardgames.classic.solitaire.world,android,W1,TRUE
com.cardgames.solitaire.fun.free.klondike.spider.freecell.classic,android,F1,TRUE
com.cardgames.solitaire.fun.free.klondike.spider.freecell.classic,ios,F1ios,TRUE
com.cardgames.solitaire.patience.fish.go,ios,F2ios,TRUE
com.cardgames.solitaire.patience.fish.go,android,F2,TRUE
com.cardgames.solitaire.fun.free.freecell.classic,ios,F3ios,TRUE
com.cardgames.solitaire.fun.free.freecell.classic,android,F3,TRUE
com.cardgames.solitaire.fun.free.spider.classic,ios,F4ios,TRUE
com.cardgames.solitaire.fun.free.spider.classic,android,F4,TRUE
com.cardgames.solitaire.fun.free.collection.classic,ios,F5ios,TRUE
com.cardgames.solitaire.fun.free.collection.classic,android,F5,TRUE
com.cardgames.solitaire.fun.free.pyramid.classic,ios,F6ios,TRUE
com.cardgames.solitaire.fun.free.pyramid.classic,android,F6,TRUE
com.cardgames.solitaire.fun.free.tripeaks.classic,ios,F7ios,TRUE
com.cardgames.solitaire.fun.free.tripeaks.classic,android,F7,TRUE
com.cardgames.solitaire.patience.free.klondike.spider.collection.classic,android,FP,TRUE
