payId,price,consumable,platform,status
String,Number,Number,String,Boolean
com.solitaire.klondike.patience.ocean.aquarium_removeads,4.99,0,android,TRUE
com.solitaire.klondike.patience.ocean.aquarium_coin_1,0.99,0,android,TRUE
com.solitaire.klondike.patience.ocean.aquarium_coin_3,2.99,0,android,TRUE
com.solitaire.klondike.patience.ocean.aquarium_coin_5,4.99,0,android,TRUE
com.solitaire.klondike.patience.ocean.aquarium_coin_10,9.99,0,android,TRUE
com.solitaire.klondike.patience.ocean.aquarium_coin_20,19.99,0,android,TRUE
com.solitaire.klondike.patience.ocean.aquarium_coin_40,39.99,0,android,TRUE
com.solitaire.klondike.patience.ocean.aquarium_coin_80,79.99,0,android,TRUE
com.solitaire.klondike.patience.ocean.aquarium.ios_removeads,4.99,1,ios,TRUE
com.solitaire.klondike.patience.ocean.aquarium.ios_coin_1,0.99,0,ios,TRUE
com.solitaire.klondike.patience.ocean.aquarium.ios_coin_3,2.99,0,ios,TRUE
com.solitaire.klondike.patience.ocean.aquarium.ios_coin_5,4.99,0,ios,TRUE
com.solitaire.klondike.patience.ocean.aquarium.ios_coin_10,9.99,0,ios,TRUE
com.solitaire.klondike.patience.ocean.aquarium.ios_coin_20,19.99,0,ios,TRUE
com.solitaire.klondike.patience.ocean.aquarium.ios_coin_40,39.99,0,ios,TRUE
com.solitaire.klondike.patience.ocean.aquarium.ios_coin_80,79.99,0,ios,TRUE
com.solitaire.spider.patience.ocean.aquarium_removeads,4.99,1,android,TRUE
com.solitaire.spider.patience.ocean.aquarium_coin_1,0.99,0,android,TRUE
com.solitaire.spider.patience.ocean.aquarium_coin_3,2.99,0,android,TRUE
com.solitaire.spider.patience.ocean.aquarium_coin_5,4.99,0,android,TRUE
com.solitaire.spider.patience.ocean.aquarium_coin_10,9.99,0,android,TRUE
com.solitaire.spider.patience.ocean.aquarium_coin_20,19.99,0,android,TRUE
com.solitaire.spider.patience.ocean.aquarium_coin_40,39.99,0,android,TRUE
com.solitaire.spider.patience.ocean.aquarium_coin_80,79.99,0,android,TRUE
com.solitaire.spider.patience.ocean.aquarium.ios_removeads,4.99,1,ios,TRUE
com.solitaire.spider.patience.ocean.aquarium.ios_coin_1,0.99,0,ios,TRUE
com.solitaire.spider.patience.ocean.aquarium.ios_coin_3,2.99,0,ios,TRUE
com.solitaire.spider.patience.ocean.aquarium.ios_coin_5,4.99,0,ios,TRUE
com.solitaire.spider.patience.ocean.aquarium.ios_coin_10,9.99,0,ios,TRUE
com.solitaire.spider.patience.ocean.aquarium.ios_coin_20,19.99,0,ios,TRUE
com.solitaire.spider.patience.ocean.aquarium.ios_coin_40,39.99,0,ios,TRUE
com.solitaire.spider.patience.ocean.aquarium.ios_coin_80,79.99,0,ios,TRUE
